field_group,log_prefix,source_owner,console_trigger,bounded,notes
scene_frame_counts,PathTracePrimaryPass:_RT_smoke_scene_capture,neo/renderer/NVRHI/PathTraceSmokeSceneBuild.cpp,r_pathTracingSmokeLog_1_then_0,manual_window,One_broad_snapshot_only
static_active_retained_and_AS,PathTracePrimaryPass:_PT_BVH_active_AS,neo/renderer/NVRHI/PathTraceSmokeSceneBuild.cpp,r_pathTracingSmokeLog_1_then_0,manual_window,Includes_static_bucket_policy_generations_upload_and_TLAS
static_range_history,PathTracePrimaryPass:_RT_smoke_geometry_range_history_dump,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingGeometryUniverseRangeDump_1,yes,One_shot_bounded_to_16_samples
instance_classes_and_identity,PathTracePrimaryPass:_PT_instance_universe_dump,neo/renderer/NVRHI/PathTraceInstanceUniverse.cpp,r_pathTracingInstanceUniverseDump_1,yes,One_shot
rigid_mesh_records,PathTracePrimaryPass:_PT_rigid_mesh_universe,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidMeshUniverseDump_1,yes,One_shot
rigid_BLAS_plan,PathTracePrimaryPass:_PT_rigid_BLAS_plan,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidBlasPlanDump_1,yes,One_shot
rigid_BLAS_inputs,PathTracePrimaryPass:_PT_rigid_BLAS_inputs,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidBlasInputDump_1,yes,One_shot
rigid_GPU_BLAS_state,PathTracePrimaryPass:_PT_rigid_BLAS_GPU,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidBlasGpuDump_1,yes,One_shot
rigid_TLAS_plan,PathTracePrimaryPass:_PT_rigid_TLAS_plan,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidTlasPlanDump_1,yes,One_shot
rigid_live_route,PathTracePrimaryPass:_PT_rigid_route_dump,neo/renderer/NVRHI/PathTraceSmokeSceneBuild.cpp,r_pathTracingRigidRouteDump_1,yes,One_shot
portal_area_and_rigid_lifetime,PathTracePrimaryPass:_PT_rigid_residency,neo/renderer/NVRHI/PathTraceGeometryUniverse.cpp,r_pathTracingRigidResidencyDump_1,yes,One_shot_includes_currentArea
entity_feed_lifetime,PathTracePrimaryPass:_PT_entity_feed,neo/renderer/NVRHI/PathTraceEntityFeed.cpp,r_pathTracingEntityFeedDump_1,yes,One_shot
material_coverage,PathTracePrimaryPass:_RT_smoke_texture_coverage,neo/renderer/NVRHI/PathTraceDebugDumps.cpp,r_pathTracingSmokeLog_1_then_0,manual_window,Separates_bound_fallback_and_invalid_material
CPU_stage_timing,PathTracePrimaryPass:_RT_smoke_slow_scene_build,neo/renderer/NVRHI/PathTraceSmokeSceneBuild.cpp,r_pathTracingTimingLog_1_then_0,manual_window,Set_threshold_0_and_interval_1000_for_warm_samples
GPU_skinning_mode,PathTracePrimaryPass:_PT_skinned_GPU,neo/renderer/NVRHI/PathTraceSmokeSceneBuild.cpp,r_pathTracingSmokeLog_1_then_0,manual_window,Coverage_only_until_GEO-03_readback
raster_PT_visual_state,manual_observation,game_view,none,manual,Record_raster_and_PT_separately
